Date,Target,Volume,MA_20,MA_50,RSI,Volatility_30D,Month,DayOfWeek
2015-03-19,0,1905100.0,32.265494632720944,32.25922576904297,75.11015109774276,0.012994340286698483,3.0,2.0
2015-03-20,0,1503500.0,32.260595607757566,32.32848011016846,69.29942311661645,0.013056429348813285,3.0,3.0
2015-03-23,1,4354100.0,32.23555746078491,32.38494033813477,65.14228263271556,0.013106295119631213,3.0,4.0
2015-03-24,0,1011500.0,32.21841173171997,32.44493927001953,64.67395359928759,0.011966551608698755,3.0,0.0
2015-03-25,0,1022300.0,32.26494989395142,32.53055847167969,72.4527364236707,0.01270339245596972,3.0,1.0
2015-03-26,0,1656500.0,32.34768476486206,32.63001621246338,71.09943119219064,0.012653673885586499,3.0,2.0
2015-03-27,0,1524400.0,32.44157781600952,32.71220188140869,60.40537181779147,0.012910286449330026,3.0,3.0
2015-03-30,0,1649300.0,32.52131929397583,32.794171524047854,65.50610724465194,0.012836088151820994,3.0,4.0
2015-03-31,0,1793900.0,32.60214986801147,32.84870643615723,71.34768306384706,0.012770061607313405,3.0,0.0
2015-04-01,1,1669400.0,32.6873345375061,32.90809577941894,68.42807798376971,0.01274283032439157,3.0,1.0
2015-04-02,1,1376900.0,32.7556450843811,32.94276638031006,56.89111944246798,0.013104737063356825,4.0,2.0
2015-04-06,1,828300.0,32.82558879852295,32.956099357604984,59.18874694272385,0.013269948155422782,4.0,3.0
2015-04-07,0,813500.0,32.88927249908447,32.96106746673584,60.43149686339375,0.013463625436039092,4.0,0.0
2015-04-08,1,1500000.0,32.98915300369263,32.968998985290526,54.34173145402704,0.01343714858025146,4.0,1.0
2015-04-09,1,1419000.0,33.10754060745239,32.96882549285888,49.967363171665966,0.013169058392168429,4.0,2.0
2015-04-10,0,1073800.0,33.23763103485108,32.975651512145994,59.72019964839761,0.012853657706802565,4.0,3.0
2015-04-13,1,684000.0,33.357378005981445,33.000119056701664,66.04922558102956,0.011698523573136803,4.0,4.0
2015-04-14,0,1015500.0,33.47739734649658,33.02633014678955,69.65553600293288,0.011647274116777545,4.0,0.0
2015-04-15,0,1373000.0,33.599049949645995,33.05852596282959,64.92932174809201,0.011674445467687415,4.0,1.0
2015-04-16,1,1508000.0,33.675797653198245,33.08068218231201,64.75462734920963,0.011596826759051297,4.0,2.0
2015-04-17,1,1423200.0,33.74220352172851,33.100593452453616,79.37442498129353,0.011413684066970589,4.0,3.0
2015-04-20,0,1074900.0,33.83364753723144,33.127992210388186,80.67744548847546,0.011362588114559079,4.0,4.0
